player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
335807,285023_43854,Jean Michael Seri,Côte d'Ivoire,MF,0,0,0,0,0,0,0,0.0,0x,2,0,0,5,1,0,0,0,0,0,0,17,94,3,0,2,50,0,0,,,,11,0,6,5,8,3,0,2,8,42,1.77,28,7,2281.37,,,,,,,,0.0,0.0,19.0,571.0
335999,285023_43969,Aymeric Laporte,Spain,DF,1,1,4,0,2,2,2,0.15,0x,0,0,18,24,2,3,2,0,0,0,0,427,94,0,0,8,63,7,100,,,,83,6,3,74,37,46,0,4,45,877,5.86,436,133,49602.03,270.0,7.0,203.0,4.565734386444092,7.021656036376953,5.631779193878174,Round of 16,0.0,1.0,508.0,262.0
336022,285023_43942,Jordan Pickford,England,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,3,0,0,0,0,187,75,0,0,9,44,3,33,9.0,89.0,73.0,45,0,0,45,31,14,0,0,5,362,3.45,93,22,29512.15,,,,,,,Round of 16,0.0,0.0,513.0,1282.0
336088,285023_43960,Nathan Ake,Netherlands,DF,0,0,1,0,1,0,1,0.14,0x,0,0,8,19,4,2,2,0,0,0,0,123,91,1,0,3,0,0,0,,,,28,1,5,22,5,23,0,3,17,253,4.51,136,49,18580.35,,,,,,,,0.0,0.0,189.0,968.0
336098,285023_43960,Memphis Depay,Netherlands,FW,1,0,0,0,0,0,0,0.0,0x,1,0,0,31,2,1,1,1,0,0,0,17,88,1,100,2,100,1,100,,,,35,19,14,2,31,4,0,17,18,39,5.39,137,50,8184.41,,,,,,,,0.0,1.0,68.0,193.0
336170,285023_43972,Kaan Ayhan,Türkiye,MF,0,1,1,100,1,0,0,0.68,1.48x,0,0,0,1,1,0,0,0,0,0,0,3,33,0,0,0,0,0,0,,,,3,1,0,2,2,1,0,2,1,9,2.18,13,7,1239.03,,,,,,,,1.0,0.0,11.0,80.0
336425,285023_20014,Cedric Bakambu,Congo DR,FW,0,0,3,0,1,2,1,0.24,0x,0,0,7,80,4,2,1,0,0,0,4,23,70,1,0,1,0,0,0,,,,155,91,64,0,128,27,2,29,29,63,4.6,256,117,21517.52,,,,,,,,0.0,0.0,210.0,1003.0
336439,285023_20014,Gael Kakuta,Congo DR,FW,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
336459,285023_43888,Rani Khedira,Tunisia,MF,0,0,1,0,0,1,0,0.06,0x,0,0,6,49,10,3,0,1,0,0,0,30,83,1,0,2,50,0,0,,,,35,11,17,7,31,4,1,5,19,74,7.49,218,49,18577.38,,,,,,,,0.0,0.0,162.0,919.0
336472,285023_43938,Andrej Kramaric,Croatia,FW,0,0,1,0,0,1,0,0.01,0x,0,0,0,24,1,0,0,0,0,0,1,20,85,2,0,2,50,0,0,,,,47,18,22,7,32,15,0,10,9,47,5.44,163,50,10055.36,,,,,,,,0.0,0.0,81.0,757.0
