player_id,team_id,player_name,team,position,assists,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,source_tab,story_id,classification
403304,285023_43819,Takefusa Kubo,Japan,MF,1,0,1,0,0,1,0,0.01,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
405522,285023_43819,Keito Nakamura,Japan,MF,1,2,5,20,2,3,0,0.17,5.98x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
384797,285023_43817,Ramin Rezaeian,IR Iran,DF,1,1,1,100,1,0,0,0.59,1.7x,5,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
431230,285023_43820,Noor Alrawabdeh,Jordan,MF,1,0,1,0,0,1,0,0.03,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
395084,285023_43822,Hwang Inbeom,Korea Republic,MF,1,2,4,25,2,2,0,0.37,2.74x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
331463,285023_43978,Tim Payne,New Zealand,DF,1,0,0,0,0,0,0,0.0,0x,2,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
433118,285023_43972,Orkun Kokcu,Türkiye,MF,1,0,3,0,2,1,0,0.56,0x,2,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
335999,285023_43969,Aymeric Laporte,Spain,DF,1,1,2,0,1,1,1,0.03,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
489689,285023_43970,Lucas Bergvall,Sweden,MF,1,0,1,0,1,0,0,0.61,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
502727,285023_43971,Johan Manzambi,Switzerland,MF,1,3,6,50,4,2,0,0.63,4.73x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
484139,285023_43972,Baris Alper Yilmaz,Türkiye,FW,1,0,1,100,0,1,0,0.06,16.87x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
482974,285023_44037,Ivan Basic,Bosnia and Herzegovina,MF,1,0,4,0,0,4,0,0.15,0x,5,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
430751,285023_43969,Mikel Oyarzabal,Spain,FW,1,4,10,20,8,2,4,1.69,1.19x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
472908,285023_43995,Vladimir Coufal,Czechia,DF,1,0,1,0,1,0,1,0.02,0x,9,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
523097,285023_43995,Alexandr Sojka,Czechia,MF,1,0,0,0,0,0,0,0.0,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
448131,285023_43971,Ruben Vargas,Switzerland,FW,1,4,6,33,4,2,0,1.31,1.53x,9,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
498421,285023_43976,Paul Okon Engstler,Australia,MF,1,0,0,0,0,0,0,0.0,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
376230,285023_44037,Sead Kolasinac,Bosnia and Herzegovina,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
430194,285023_44037,Dennis Hadzikadunic,Bosnia and Herzegovina,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
430750,285023_43969,Dani Olmo,Spain,FW,1,0,2,0,1,1,0,0.03,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
411726,285023_43924,Lucas Paqueta,Brazil,MF,1,1,3,0,1,2,0,0.1,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
448214,285023_43921,Malik Tillman,USA,MF,1,2,5,0,4,1,0,0.37,0x,7,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
428882,285023_43922,Rodrigo De Paul,Argentina,MF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
448310,285023_43927,Kevin Rodriguez,Ecuador,FW,1,1,5,0,5,0,2,0.57,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
464542,285023_43921,Alex Freeman,USA,DF,1,1,1,100,1,0,1,0.67,1.48x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
390267,285023_43921,Christian Pulisic,USA,FW,1,2,3,0,2,1,0,0.38,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
424036,285023_43927,Pedro Vite,Ecuador,MF,1,1,3,0,1,2,0,0.2,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3
