player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
448531,285023_43860,Antoine Semenyo,Ghana,MF,0,0,2,0,2,0,1,0.1,0x,0,0,21,57,10,5,1,0,0,0,2,30,80,2,0,3,67,0,0,,,,40.0,23.0,16.0,1.0,25.0,15.0,2.0,24.0,24.0,74.0,5.84,146.0,75.0,20378.86,0.0,0.0,209.0,1131.0
448557,285023_43819,Daichi Kamada,Japan,MF,0,0,0,0,0,0,0,0.0,0x,1,0,13,79,18,1,4,0,0,0,1,167,82,4,50,6,50,2,100,,,,162.0,18.0,70.0,74.0,101.0,61.0,0.0,32.0,42.0,364.0,6.41,329.0,105.0,29665.11,2.0,0.0,278.0,31.0
448569,285023_43819,Shuto Machino,Japan,FW,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0
448580,285023_43822,Kim Moonhwan,Korea Republic,DF,0,0,0,0,0,0,0,0.0,0x,0,0,11,19,2,0,0,0,0,0,0,25,88,0,0,0,0,0,0,,,,27.0,14.0,9.0,4.0,10.0,17.0,0.0,7.0,1.0,49.0,2.29,109.0,52.0,8571.36,0.0,0.0,74.0,759.0
448585,285023_43822,Yang Hyunjun,Korea Republic,MF,0,1,1,0,1,0,0,0.19,0x,0,0,2,10,1,1,0,0,0,0,1,13,69,0,0,0,0,0,0,,,,9.0,1.0,6.0,2.0,2.0,7.0,1.0,1.0,10.0,28.0,2.31,37.0,21.0,2936.45,0.0,0.0,25.0,601.0
448586,285023_43822,Oh Hyeongyu,Korea Republic,FW,0,2,4,25,4,0,2,0.6,1.67x,0,0,4,51,5,0,1,0,0,0,0,22,68,1,0,2,50,0,0,,,,65.0,35.0,27.0,3.0,52.0,13.0,3.0,22.0,26.0,62.0,6.26,158.0,64.0,15016.21,1.0,0.0,145.0,82.0
448598,285023_43872,Ismael Saibari,Morocco,MF,0,3,10,30,7,3,1,1.01,2.98x,0,0,26,128,12,3,2,0,0,0,2,72,83,6,33,6,67,1,100,,,,188.0,95.0,78.0,15.0,111.0,77.0,8.0,44.0,62.0,187.0,6.76,391.0,220.0,28763.3,3.0,0.0,255.0,11.0
448607,285023_43872,Chadi Riad,Morocco,DF,1,0,1,0,1,0,1,0.12,0x,0,0,7,22,10,0,0,0,0,0,0,174,93,0,0,1,0,1,100,,,,75.0,0.0,3.0,72.0,46.0,29.0,0.0,2.0,19.0,357.0,6.09,336.0,75.0,31317.86,0.0,1.0,308.0,203.0
448612,285023_43872,Bilal El Khannouss,Morocco,MF,0,3,5,0,2,3,1,0.27,0x,2,0,8,69,12,3,3,0,0,0,0,143,81,10,20,16,81,1,100,,,,102.0,21.0,66.0,15.0,32.0,70.0,5.0,49.0,68.0,329.0,6.12,328.0,141.0,28097.49,0.0,0.0,274.0,1184.0
448662,285023_43888,Elias Achouri,Tunisia,FW,0,1,3,0,0,3,0,0.13,0x,0,0,1,19,6,0,1,0,0,0,1,8,88,0,0,0,0,0,0,,,,31.0,17.0,13.0,1.0,16.0,15.0,0.0,3.0,10.0,33.0,6.83,68.0,40.0,6477.05,0.0,0.0,58.0,715.0
